time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
-0.018848,0.097033,-0.029042,0.081021
0.011151,0.099089,-0.034368,0.062827
0.051149,0.103347,-0.037578,0.066014
0.071148,0.102362,-0.036522,0.091663
0.121144,0.105616,-0.038673,0.114088
0.161143,0.100189,-0.035443,0.075642
0.191141,0.096903,-0.032221,0.041470
0.221139,0.098992,-0.036486,0.032898
0.251119,0.098931,-0.037542,0.013660
0.281135,0.098892,-0.039669,0.002964
0.311124,0.102087,-0.049276,0.014663
0.341122,0.106400,-0.056762,0.041333
0.381106,0.112860,-0.067455,0.077600
0.431119,0.117281,-0.076025,0.141660
0.461116,0.117379,-0.078175,0.176907
0.491116,0.119629,-0.080333,0.219634
0.521121,0.121876,-0.081424,0.260229
0.551120,0.121935,-0.077167,0.275211
0.591118,0.117648,-0.069686,0.257089
0.621116,0.115461,-0.063272,0.230413
0.651114,0.111126,-0.055783,0.196264
0.681112,0.107878,-0.048300,0.169595
0.731110,0.105732,-0.037625,0.151490
0.761099,0.102520,-0.034415,0.141892
0.781106,0.100357,-0.030138,0.125889
0.821104,0.095996,-0.023711,0.084255
0.861090,0.095941,-0.019435,0.060773
0.891095,0.093768,-0.016223,0.042627
0.921083,0.090553,-0.013012,0.031961
0.951080,0.094805,-0.015154,0.031948
0.991094,0.089488,-0.015143,0.034086
1.031093,0.092697,-0.017286,0.041553
1.051090,0.090570,-0.018349,0.043685
1.081086,0.092715,-0.019423,0.050089
1.121088,0.093808,-0.019430,0.059705
1.151086,0.093830,-0.020500,0.068247
1.181083,0.102368,-0.018389,0.072530
1.211063,0.087469,-0.016224,0.072546
1.251077,0.097029,-0.018375,0.067189
1.291065,0.096986,-0.020501,0.055424
1.321051,0.094831,-0.019425,0.045815
1.361050,0.092671,-0.017282,0.033005
1.391050,0.090521,-0.020474,0.029783
1.421048,0.095852,-0.024754,0.037237
1.451068,0.095812,-0.027947,0.027604
1.491065,0.098936,-0.033276,0.010478
1.521064,0.099964,-0.037539,0.002975
1.551062,0.100992,-0.039669,-0.006653
1.591059,0.101005,-0.040738,-0.001316
1.621058,0.102072,-0.041807,0.000814
1.651055,0.099989,-0.037543,0.011523
1.681053,0.096847,-0.030078,0.020112
1.711052,0.093715,-0.020481,0.029782
1.751025,0.088485,-0.006618,0.044818
1.781050,0.085349,0.001913,0.054482
1.811047,0.083257,0.007245,0.060922
1.851015,0.080098,0.013647,0.065232
1.881014,0.081162,0.011511,0.067357
1.931028,0.082212,0.007244,0.067334
1.961028,0.086446,0.002972,0.064104
1.991011,0.089591,-0.005560,0.057645
2.021024,0.077796,0.000880,0.022424
2.051010,0.081705,-0.009738,-0.082345
2.091031,0.085874,-0.017199,-0.103756
2.121030,0.097626,-0.038566,-0.065411
2.151004,0.105245,-0.052478,0.006097
2.181026,0.112932,-0.069600,0.104300
2.231028,0.118592,-0.068602,0.215424
2.261014,0.100398,-0.032278,0.141904
2.291013,0.084282,0.004049,0.051288
2.321011,0.083060,0.015811,-0.014891
2.351010,0.063957,0.031844,-0.012662
2.391014,0.075868,0.018985,0.068468
2.421012,0.073779,0.029650,0.069596
2.451010,0.073816,0.027510,0.084542
2.481007,0.077100,0.027488,0.114458
2.521003,0.077157,0.026412,0.134753
2.551001,0.079231,0.025350,0.117652
2.581000,0.079129,0.020033,0.089842
2.611000,0.080091,0.011514,0.065221
2.650999,0.084201,0.001929,0.026702
2.690996,0.088284,-0.010851,-0.017176
2.720995,0.089243,-0.018303,-0.043929
2.750993,0.090233,-0.021493,-0.065316
2.790990,0.094475,-0.028966,-0.062153
2.820989,0.095586,-0.038576,-0.035494
2.850987,0.098855,-0.042863,-0.005601
2.890983,0.104262,-0.049289,0.029621
2.920983,0.106450,-0.047170,0.046728
2.950981,0.105412,-0.043972,0.052088
2.980979,0.103318,-0.036506,0.055335
3.020972,0.092608,-0.027938,0.024399
3.050967,0.093695,-0.022611,0.025497
3.090973,0.099097,-0.025836,0.055395
3.120972,0.094855,-0.029030,0.064994
3.160969,0.104431,-0.043983,0.079868
3.190968,0.108671,-0.054657,0.086219
3.220941,0.111803,-0.064254,0.076550
3.250964,0.109630,-0.063175,0.060529
3.280961,0.107438,-0.058893,0.034910
3.310941,0.104223,-0.050349,0.017862
3.340939,0.102082,-0.040742,0.002957
3.380955,0.096772,-0.032199,-0.002337
3.430936,0.093637,-0.023668,0.007327
3.460934,0.090534,-0.019409,0.032994
3.490933,0.090602,-0.017287,0.053307
3.520933,0.092784,-0.015168,0.068276
3.550932,0.090674,-0.014099,0.073625
3.590942,0.089584,-0.014093,0.065078
3.620926,0.089568,-0.014090,0.059735
3.650940,0.094831,-0.020492,0.046877
3.680939,0.096914,-0.030089,0.042550
3.720936,0.102213,-0.041831,0.047827
3.750934,0.105369,-0.048231,0.042448
3.780932,0.105348,-0.051428,0.039225
3.820900,0.106371,-0.050357,0.024273
3.850929,0.102089,-0.046077,0.011476
3.890917,0.101021,-0.039674,0.002963
3.920920,0.097830,-0.034333,-0.002349
3.950895,0.093558,-0.026855,-0.015128
3.980898,0.090397,-0.018320,-0.014012
4.030918,0.089365,-0.011923,-0.010771
4.060935,0.088302,-0.014054,-0.007577
4.090934,0.091532,-0.013000,0.003112
4.120932,0.094755,-0.019413,0.020172
4.150931,0.096925,-0.026891,0.042568
4.180928,0.102268,-0.034373,0.057484
4.220926,0.102242,-0.040769,0.056380
4.250925,0.104307,-0.047163,0.042455
4.280923,0.104258,-0.049288,0.028553
4.320907,0.103142,-0.050344,0.012520
4.350902,0.102049,-0.049270,0.001842
4.390917,0.102012,-0.047130,-0.013105
4.410914,0.099848,-0.046053,-0.025920
4.450909,0.101926,-0.047116,-0.041953
4.490911,0.101923,-0.046049,-0.044084
4.520909,0.100858,-0.047113,-0.043022
4.550907,0.102968,-0.052448,-0.043051
4.590902,0.106177,-0.056725,-0.033459
4.620885,0.105111,-0.057789,-0.032397
4.650900,0.107232,-0.063125,-0.029221
4.680898,0.109365,-0.068464,-0.021772
4.710897,0.110459,-0.067405,-0.013218
4.750896,0.110467,-0.070606,-0.006825
4.780894,0.108384,-0.066343,0.003883
4.810893,0.108413,-0.066347,0.013500
4.850881,0.106343,-0.063152,0.029545
4.880880,0.106397,-0.063161,0.047708
4.930886,0.106455,-0.063171,0.066941
4.960885,0.106451,-0.063170,0.065872
4.990881,0.104302,-0.058896,0.054143
5.020880,0.107478,-0.056766,0.045606
5.060878,0.105404,-0.053571,0.060583
5.080877,0.105395,-0.052503,0.056315
5.120875,0.105401,-0.053570,0.059514
5.150872,0.104344,-0.050369,0.058464
5.190870,0.104309,-0.050363,0.046711
5.230849,0.100036,-0.047151,0.038182
5.250850,0.103218,-0.045023,0.031782
5.290865,0.099955,-0.042871,0.006151
5.320847,0.098882,-0.040734,0.000821
5.350838,0.097804,-0.041796,-0.002390
5.380845,0.098841,-0.046060,-0.006687
5.420828,0.102021,-0.053532,-0.002455
5.450854,0.102087,-0.055677,0.022107
5.490841,0.107478,-0.062100,0.051988
5.520851,0.107560,-0.064247,0.081893
5.550849,0.109737,-0.065326,0.098982
5.590836,0.110810,-0.067463,0.104312
5.610835,0.109755,-0.068529,0.108581
5.650834,0.111847,-0.066394,0.093633
5.690841,0.108543,-0.062102,0.051988
5.720839,0.107387,-0.058885,0.017815
5.750838,0.103006,-0.053521,-0.029167
5.790828,0.132738,-0.048242,-0.062268
5.830821,0.070001,-0.032113,-0.053616
5.850821,0.005028,-0.028763,-0.065336
5.880830,0.082700,-0.027863,-0.084581
5.910828,0.077398,-0.022521,-0.083482
5.950826,0.087975,-0.016133,-0.114435
5.980824,0.079502,-0.002254,-0.115425
6.020801,0.094722,-0.007674,-0.004339
6.050804,0.101377,-0.010933,0.088598
6.070820,0.081225,-0.021567,0.127009
6.120816,0.055032,-0.029044,0.277628
6.170790,0.057410,-0.022691,0.353523
6.190812,0.075481,-0.010993,0.330077
6.220811,0.059320,0.004008,0.248960
6.260793,0.033326,0.018006,0.085568
6.290801,0.051293,0.032921,0.023675
6.320805,0.087261,-0.037523,0.027553
6.350777,0.102352,0.000814,0.044856
6.390800,0.130950,0.059441,-0.073428
6.420798,0.050951,0.116180,-0.187423
6.460797,-0.047314,0.264721,-0.463315
6.490795,-0.059045,0.347952,-0.566496
6.520794,-0.094226,0.372572,-0.610160
6.550792,-0.002596,0.339288,-0.550530
6.590780,0.014816,0.254919,-0.326621
6.620770,0.047238,0.158766,-0.054699
6.650784,0.077282,0.072258,0.123252
6.690761,0.104294,0.016665,0.319538
6.730759,0.081588,0.039174,0.177561
6.750758,0.068444,0.064864,0.024915
6.790758,0.063863,0.092661,-0.114900
6.810776,0.059449,0.102297,-0.177885
6.850775,0.065341,0.099165,-0.340310
6.890771,0.077364,0.050019,-0.179245
6.920770,0.077450,-0.015063,-0.074894
6.950769,0.093438,-0.095103,0.024030
6.990766,0.131724,-0.223184,0.157943
7.020763,0.117589,-0.227371,0.064967
7.050763,0.119588,-0.208153,-0.001173
7.080761,0.093816,-0.158992,-0.131249
7.120759,0.046253,-0.041432,-0.506691
7.150757,0.058838,0.030039,-0.653749
7.190725,0.032158,0.110111,-0.767628
7.220724,0.055474,0.111143,-0.805024
7.250749,0.065559,0.106771,-0.631959
7.280721,0.068311,0.111996,-0.429992
7.330747,0.070979,0.088434,-0.222840
7.360745,0.096780,0.104335,-0.158651
7.390743,0.080765,0.131046,-0.204444
7.420741,0.100927,0.150212,-0.249219
7.450731,0.089362,0.213148,-0.273445
7.490737,0.089442,0.264336,-0.306286
7.520735,0.123575,0.304783,-0.332783
7.550734,0.106490,0.289896,-0.331793
7.580732,0.111003,0.273844,-0.228241
7.620724,0.120380,0.195813,0.149564
7.650721,0.144143,0.098636,0.375539
7.690712,0.124303,0.067682,0.542054
7.720719,0.144702,0.060142,0.607184
7.750718,0.150332,0.104880,0.657646
7.790719,0.136588,0.165695,0.619519
7.820718,0.132562,0.190200,0.668804
7.850717,0.106324,0.113395,0.885286
7.890714,0.137508,-0.079795,1.212235
7.920713,0.139730,-0.060615,1.220888
7.950708,0.155151,-0.028559,0.999888
7.980708,0.164880,-0.042472,1.064986
8.010707,0.157234,-0.075665,1.394961
8.050699,0.168248,-0.103484,1.549732
8.080674,0.194016,-0.121711,1.642582
8.120687,0.218499,-0.197500,1.728706
8.150686,0.272612,-0.255192,1.732649
8.180685,0.273868,-0.274426,1.819089
8.230676,0.281950,-0.276506,1.675901
8.260674,0.350893,-0.276618,1.587202
8.290665,0.305819,-0.257258,1.446282
8.320665,0.340085,-0.259325,1.157777
8.350671,0.317163,-0.259181,0.969734
8.390685,0.356956,-0.276228,0.766622
8.420683,0.375379,-0.278281,0.520860
8.450681,0.327169,-0.271723,0.414061
8.490660,0.395136,-0.302781,0.391436
8.530678,0.355016,-0.308080,0.511085
8.560675,0.400698,-0.325233,0.497090
8.590653,0.366006,-0.333586,0.299386
8.620652,0.334303,-0.270620,0.306151
8.650651,0.351409,-0.314404,0.380698
8.680649,0.338771,-0.280265,0.387300
8.710649,0.339026,-0.334533,0.179719
8.740647,0.255136,-0.283180,0.194980
8.780663,0.313032,-0.248176,0.288115
8.820660,0.307728,-0.247100,0.293465
8.850658,0.263811,-0.229891,0.185655
8.880653,0.166473,-0.267999,0.080759
8.910655,0.250584,-0.242588,0.049893
8.950653,0.315731,-0.320460,-0.149285
8.990637,0.210739,-0.214690,-0.132651
9.010665,0.191249,-0.238060,-0.213978
9.050635,0.216575,-0.157011,-0.384493
9.080634,0.176479,-0.151473,-0.624857
9.120659,0.190554,-0.190835,-0.856934
9.160657,0.071206,-0.143616,-0.944260
9.190655,-0.038971,-0.099725,-0.809366
9.220654,-0.156545,-0.092986,-0.968502
9.250652,-0.029936,0.018747,-1.130325
9.280650,-0.050174,-0.061208,-1.039940
9.310648,0.012686,-0.049798,-0.684094
9.350622,0.034411,0.018351,-0.619616
9.380644,-0.005999,0.112302,-0.712047
9.420641,0.071980,0.005591,-0.859031
9.460622,0.095621,0.073770,-0.866141
9.490639,0.104575,0.058744,-0.702751
9.520631,0.097115,0.147122,-0.452243
9.550631,0.073220,0.167170,0.078899
9.580629,0.060421,0.103201,0.145864
9.610628,0.144878,0.079488,0.287819
9.640626,0.152201,-0.026284,0.723169
9.680628,0.110855,-0.147997,1.280248
9.730624,0.164549,-0.156377,0.730999
9.760623,0.149268,-0.079655,0.872462
9.790621,0.169394,-0.179951,0.954177
9.820619,0.148187,-0.222410,0.677217
9.850617,0.097021,-0.014282,0.415531
9.880616,0.129693,-0.075993,0.019852
9.910614,0.106117,-0.027023,0.268011
9.950606,0.149761,-0.143388,0.399850
9.990609,0.118083,-0.165585,0.158263
10.030607,0.142582,-0.126175,0.115735
10.060606,0.130820,-0.111206,0.081629
10.090578,0.163624,-0.141114,0.048335
10.120602,0.076087,-0.138746,-0.030698
10.160585,0.037385,-0.105706,0.162885
10.180598,0.172659,-0.226379,-0.035476
10.220584,0.092467,-0.190051,0.165614
10.250586,0.152316,-0.168889,0.215934
10.290592,0.134685,-0.159151,0.005504
10.330591,0.147834,-0.091866,-0.303984
10.360588,0.067762,-0.046849,-0.428728
10.390586,0.038660,-0.077659,-0.511162
10.420567,-0.046166,-0.037884,-0.795134
10.450583,-0.055575,-0.055850,-1.071963
10.480582,-0.004180,0.032697,-1.434766
10.520578,-0.053853,0.040565,-2.031983
10.570556,-0.010607,0.121428,-1.906538
10.590557,0.018043,0.162805,-1.631722
10.620573,0.099817,0.172081,-1.357095
10.650554,0.088071,0.148471,-0.985397
10.690553,0.131978,0.125755,-0.518614
10.720552,0.105053,0.112891,-0.250493
10.750551,0.095918,0.126704,-0.116857
10.790563,0.140033,0.044395,0.132700
10.820562,0.148990,0.021902,0.305666
10.850560,0.149517,0.032656,0.113401
10.880558,0.109150,0.045532,0.129508
10.920543,0.089159,-0.012955,-0.078090
10.950553,0.049715,0.092744,-0.217469
10.980552,0.050444,0.079105,-0.669504
11.010550,0.081822,0.146328,-0.936258
11.050549,0.127916,0.147240,-0.833691
11.090527,0.096633,0.148444,-0.970441
11.110517,-0.046307,0.114676,-1.019742
11.150520,0.083593,0.227627,-1.506371
11.180518,0.091161,0.318084,-1.217391
11.230539,0.186675,0.118100,-0.377631
11.260536,0.244918,0.059003,0.296231
11.290535,0.200673,0.145426,0.354413
11.320533,0.235740,0.261627,0.195842
11.350532,0.302042,0.258056,0.652041
11.380525,0.227759,0.085204,1.292187
11.420520,0.195771,0.030883,1.339977
11.450526,0.181179,0.043839,1.074004
11.480524,0.148393,0.032318,0.805764
11.520521,0.159138,0.053787,0.457560
11.560518,0.116089,0.098760,0.251604
11.590517,0.100574,0.097653,0.405461
11.620515,0.182705,0.006776,0.559869
11.650514,0.141917,0.029147,0.780105
11.690511,0.167560,-0.009326,0.854680
11.720510,0.168423,-0.080763,0.870314
11.750509,0.149374,-0.123406,0.958767
11.780493,0.128127,-0.162834,1.020526
11.830502,0.116124,-0.143558,0.900967
11.860475,0.106385,-0.136044,0.840108
11.890501,0.140318,-0.196899,0.864340
11.920499,0.148096,-0.243904,1.027555
11.950497,0.159786,-0.235393,1.010503
11.980495,0.196040,-0.234242,0.670730
12.020493,0.142258,-0.174296,0.418914
12.050473,0.171268,-0.219031,0.202832
12.090489,0.120706,-0.215631,0.025498
12.130487,0.102003,-0.122689,-0.283842
12.160485,0.032618,-0.080903,-0.391510
12.180480,0.045716,-0.090585,-0.272967
12.220481,0.057431,-0.091853,0.084959
12.260469,0.099446,-0.081362,0.236728
12.280479,0.103750,-0.094179,0.266574
12.320471,0.100130,-0.128235,0.163815
12.350470,0.064553,-0.133416,0.022758
12.370474,0.075626,-0.100269,-0.229220
12.420470,0.066646,-0.079730,-0.763337
12.460468,0.076273,-0.042250,-1.147781
12.490467,-0.038128,0.030620,-1.390963
12.520447,-0.031013,0.141595,-1.632896
12.550447,-0.000194,0.208736,-1.730833
12.580442,0.041049,0.217048,-1.478639
12.620459,0.111505,0.150550,-0.984323
12.650439,0.093557,0.104522,-0.524063
12.700441,0.158873,0.105032,0.309326
12.720440,0.218196,0.096239,0.574242
12.750438,0.134962,0.033348,0.941468
12.780449,0.171054,-0.017025,1.319419
12.810447,0.187823,-0.044928,1.618431
12.850446,0.223469,-0.132385,1.534602
12.890443,0.102814,-0.091173,0.661922
12.920435,0.078369,-0.023749,0.242392
12.950440,0.037928,-0.101529,0.339204
12.990438,0.139439,-0.202977,0.222160
13.020436,0.112207,-0.170990,0.335600
13.060433,0.175684,-0.319510,0.727963
13.090433,0.155106,-0.184112,0.809915
13.120430,0.118767,-0.132807,0.704428
13.150429,0.122316,-0.108340,0.794313
13.180428,0.159373,-0.206524,0.838640
13.220405,0.195612,-0.257812,0.911005
13.250403,0.227808,-0.287619,0.674703
13.280422,0.128747,-0.274414,0.290152
13.330415,0.047390,-0.208916,-0.287508
13.360417,0.090026,-0.161910,-0.682591
13.390415,0.102099,-0.188489,-0.886817
13.420414,0.081216,-0.204335,-1.086702
13.450412,-0.016733,-0.178515,-1.114317
13.490409,0.051607,-0.078433,-1.165069
13.520408,0.069240,-0.041062,-1.364671
13.550406,0.051003,0.025136,-1.487176
13.580404,0.013289,-0.067507,-1.529346
13.620382,0.011054,0.048784,-1.699661
13.650376,-0.016768,0.057403,-1.756235
13.680370,0.020402,0.084002,-1.819137
13.710369,0.041082,0.140416,-1.734423
13.750368,0.083197,0.171158,-1.572926
13.790392,0.154315,0.129258,-1.241950
13.820391,0.153888,0.113154,-1.010181
13.860387,0.168515,0.163126,-0.805834
13.890386,0.170628,0.150324,-0.796288
13.920384,0.171810,0.179103,-0.790788
13.950370,0.244039,0.180035,-0.849566
13.990358,0.168036,0.178140,-0.983116
14.020391,0.175573,0.134375,-0.904292
14.050389,0.186993,0.068088,-0.569161
14.080387,0.236864,0.148897,-0.364653
14.120379,0.239469,0.191480,-0.255436
14.150377,0.260358,0.161457,-0.000243
14.180373,0.216031,0.145492,0.149265
14.230359,0.183523,0.130900,-0.378629
14.260358,0.191485,0.151241,-0.587938
14.290372,0.211299,0.137398,-0.710892
14.320349,0.125351,0.082250,-0.903498
14.350353,0.176585,0.174915,-0.969246
14.380353,0.160809,0.149318,-0.874289
14.420368,0.269042,0.204428,-0.706263
14.450365,0.247297,0.219309,-0.518127
14.480359,0.319499,0.241405,-0.255180
14.530339,0.273541,0.218962,0.068452
14.560342,0.273508,0.217901,0.058830
14.590339,0.202954,0.203172,-0.018164
14.620344,0.231708,0.203107,-0.016034
14.650331,0.220072,0.158319,0.061720
14.690353,0.198296,0.133914,-0.070898
14.720351,0.186892,0.115930,-0.302851
14.750349,0.164447,0.169329,-0.393372
14.780347,0.184821,0.195927,-0.376135
14.820327,0.184577,0.128766,-0.379709
14.860334,0.178119,0.182126,-0.464892
14.890316,0.152876,0.215199,-0.399527
14.920331,0.122336,0.204546,-0.274568
14.950311,0.217387,0.190417,-0.161412
14.990336,0.112672,0.190539,0.070471
15.010327,0.198796,0.176498,0.046867
15.050332,0.184205,0.230880,0.088839
15.080331,0.116764,0.202291,0.001084
15.130328,0.123525,0.223723,-0.255231
15.160326,0.174864,0.213969,-0.166614
15.190324,0.115152,0.130916,-0.098675
15.220299,0.140951,0.141485,-0.029173
15.250322,0.153182,0.208573,0.066286
15.280320,0.152283,0.212815,0.116528
15.320299,0.181799,0.209422,0.377207
15.340316,0.153297,0.158245,0.519038
15.380297,0.131408,0.075015,0.772881
15.430311,0.153631,0.039787,0.768408
15.460310,0.090101,0.035780,0.535476
15.480308,0.088574,0.044393,0.370980
15.520306,0.098093,0.114959,-0.088074
15.560289,0.077619,0.106511,-0.159703
15.580303,0.115139,0.128785,-0.100824
15.620287,0.091725,0.104303,-0.068899
15.640299,0.107863,0.069038,0.028134
15.670298,0.106452,0.048656,0.291933
15.730294,0.145502,-0.033685,0.628037
15.760292,0.137967,-0.006987,0.569420
15.790272,0.132484,0.014385,0.491541
15.820290,0.116534,0.004817,0.509656
15.850263,0.136118,0.011105,0.642175
15.880261,0.192469,-0.059410,0.697335
15.920282,0.145240,-0.129818,1.007882
15.950281,0.165448,-0.179994,1.058887
15.990277,0.159779,-0.160724,0.921163
16.020279,0.145312,-0.178722,0.733018
16.050276,0.121576,-0.212751,0.668729
16.080274,0.121084,-0.238270,0.533962
16.110272,0.130165,-0.188074,0.307721
16.150271,0.115601,-0.207122,0.088585
16.190268,0.097621,-0.214568,0.137698
16.220267,0.158894,-0.212494,-0.025780
16.250264,0.116221,-0.195317,-0.073757
16.290263,0.101312,-0.194216,-0.075884
16.310242,0.150236,-0.224185,-0.058965
16.360259,0.140153,-0.190121,0.089741
16.390257,0.118662,-0.235908,0.077741
16.420256,0.037767,-0.245330,0.096941
16.450253,0.111264,-0.248700,0.110795
16.490233,0.076903,-0.251776,0.017830
16.520249,0.081812,-0.199451,-0.181686
16.550248,0.055987,-0.172681,-0.303338
16.580246,0.048472,-0.188654,-0.305561
16.630244,0.021647,-0.154426,-0.414350
