time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.011412,0.783830,-3.566889,-9.013144
0.044666,0.803134,-3.496258,-9.118643
0.078072,0.735345,-3.512270,-9.118343
0.111340,0.666210,-3.486531,-9.041576
0.144674,0.678631,-3.480695,-9.087667
0.178012,0.706614,-3.497305,-9.093203
0.211339,0.775599,-3.505536,-9.072852
0.244663,0.869276,-3.529329,-9.064771
0.277999,0.897259,-3.526935,-9.065070
0.311333,0.907584,-3.526186,-9.080035
0.344709,0.903245,-3.501944,-9.071355
0.378017,0.849822,-3.502992,-9.061629
0.411363,0.778742,-3.477552,-9.107719
0.444870,0.803283,-3.475757,-9.094251
0.477535,0.774552,-3.512719,-9.070009
0.511436,0.759438,-3.522745,-9.077491
0.544401,0.728312,-3.533968,-9.060282
0.578477,0.674141,-3.553571,-9.054146
0.611463,0.635085,-3.536212,-9.054895
0.644877,0.620719,-3.536961,-9.059085
0.678228,0.632391,-3.551326,-9.059534
0.712263,0.657232,-3.548633,-9.054146
0.744732,0.729060,-3.536661,-9.057139
0.778050,0.769015,-3.530676,-9.057888
0.811392,0.818397,-3.522445,-9.072253
0.844314,0.835307,-3.514514,-9.073450
0.878107,0.834409,-3.502393,-9.081382
0.911516,0.824233,-3.507780,-9.095598
0.945303,0.819445,-3.491469,-9.076743
0.978139,0.819894,-3.499251,-9.070308
1.011464,0.826777,-3.507032,-9.067914
1.044278,0.820792,-3.513317,-9.085422
1.078605,0.816153,-3.521547,-9.081082
1.111422,0.813309,-3.532322,-9.062078
1.144942,0.802535,-3.535315,-9.070009
1.178127,0.776647,-3.546687,-9.065519
1.211463,0.777545,-3.543844,-9.058187
1.244867,0.738937,-3.528281,-9.066417
1.278811,0.712001,-3.525887,-9.073450
1.311449,0.680875,-3.513916,-9.085422
1.344270,0.661871,-3.513467,-9.069111
1.378270,0.626106,-3.483538,-9.084973
1.411613,0.595729,-3.469472,-9.102930
1.444440,0.608149,-3.464982,-9.093652
1.478215,0.665163,-3.494312,-9.083177
1.511535,0.719783,-3.518255,-9.079137
1.544338,0.790713,-3.539505,-9.078239
1.578206,0.858651,-3.580357,-9.054895
1.611474,0.888729,-3.591580,-9.047113
1.644857,0.916264,-3.616122,-9.049657
1.678072,0.898606,-3.612530,-9.041427
1.711463,0.877357,-3.604001,-9.042325
1.744582,0.820792,-3.578262,-9.055942
1.778219,0.782932,-3.537410,-9.081082
1.811466,0.742528,-3.503890,-9.088864
1.844787,0.620869,-3.446576,-9.099189
1.878126,0.520009,-3.402731,-9.114153
1.911109,0.436508,-3.382080,-9.112058
1.944854,0.426482,-3.411859,-9.115500
1.978124,0.404635,-3.433557,-9.101733
2.011450,0.469131,-3.471118,-9.074199
2.044269,0.548292,-3.497605,-9.070757
2.078125,0.574928,-3.524690,-9.039182
2.111476,0.562957,-3.499550,-9.058336
2.144794,0.604558,-3.546687,-9.135253
2.178120,1.103467,-3.574970,-8.948948
2.211450,0.863440,-3.721022,-8.943111
2.244502,1.265680,-3.985740,-9.275618
2.278229,-0.046389,-3.799135,-8.747378
2.311512,-0.550536,-4.054276,-7.513572
2.344318,0.474218,-4.501409,-9.093203
2.378205,0.581812,-4.137179,-9.491254
2.411414,0.479306,-3.520799,-8.769825
2.444604,1.889093,-3.119307,-8.960171
2.478017,2.697164,-3.040894,-9.236412
2.511365,0.906986,-3.759031,-9.087367
2.544314,2.464619,-4.115031,-8.564664
2.577404,1.988007,-3.682863,-8.844946
2.611636,1.252960,-3.727157,-8.992194
2.644132,2.259160,-3.634079,-8.970047
2.678160,1.369233,-3.430415,-8.922311
2.711445,1.067403,-3.710995,-9.033196
2.744904,1.919919,-3.706955,-9.011049
2.778202,1.404549,-3.488327,-8.957028
2.811473,1.192056,-3.486381,-9.048161
2.844878,1.621232,-3.638568,-8.862454
2.878127,1.059023,-3.673285,-8.952090
2.911445,1.236799,-5.052844,-9.067165
2.945142,1.290221,-7.741329,-8.341846
2.978162,1.085660,-4.961262,-8.683930
3.011447,1.990999,-4.622920,-9.144082
3.044784,1.921715,-3.035956,-8.677794
3.077593,1.043610,-3.122450,-9.052351
3.111896,1.075634,-3.383427,-8.986807
3.144254,1.167514,-3.722518,-8.777157
3.178113,1.365342,-3.513766,-8.772518
3.211554,1.970798,-3.998908,-8.981121
3.244828,2.108768,-4.297147,-8.168709
3.278129,3.428918,-7.052223,-9.188227
3.311483,1.863354,-2.676963,-7.777842
3.344884,1.303091,-6.546280,-8.699642
3.378117,1.706528,-4.464747,-8.124864
3.411605,0.373808,-3.956111,-8.221084
3.444811,0.747766,-4.430628,-9.223692
3.478132,0.031126,-3.596070,-8.629310
3.511840,-1.048249,-2.943028,-9.313478
3.544828,0.186006,-3.744216,-8.059470
3.578102,3.029222,-4.461904,-9.924470
3.611543,-0.063748,-4.691905,-8.830430
3.644638,-0.221621,-5.004958,-7.507287
3.678112,2.565479,-6.353091,-8.082066
3.711802,0.311407,-6.019537,-7.885734
3.744791,1.514536,-6.312987,-7.987492
3.777561,1.949399,-6.400977,-7.399993
3.811554,1.313267,-5.883661,-8.894029
3.844878,1.241438,-5.904761,-8.638438
3.878113,1.622578,-5.702294,-7.815103
3.911450,1.793171,-5.468253,-8.404995
3.944585,0.995724,-5.490549,-7.959808
3.977581,2.020030,-5.385500,-7.787120
4.011338,1.354867,-5.219845,-9.858178
4.044329,0.373808,-5.382058,-9.010750
4.078170,0.602014,-4.661827,-8.119177
4.111460,-0.102655,-3.936807,-8.359354
4.144398,-1.028047,-5.009298,-6.786008
4.178155,-1.851233,-6.447965,-8.285730
4.211359,-2.298965,-4.323185,-8.970496
4.244691,-0.638078,-5.719054,-7.325621
4.278022,2.849351,-7.474964,-9.021225
4.311374,2.342511,-5.460172,-8.834171
4.344708,3.943391,-7.139016,-7.844134
4.378146,5.337465,-7.442043,-9.865810
4.411430,-1.564816,-5.118836,-8.030439
4.444129,1.595194,-4.106202,-5.460172
4.478251,-0.168947,-5.321004,-9.776772
4.511385,-1.933836,-5.416775,-9.938087
4.544176,-3.065735,-4.117875,-8.043757
4.578113,0.292702,-3.024733,-8.983665
4.611382,5.459124,-4.954229,-10.686452
4.644203,0.216683,-2.710483,-9.856382
4.678463,-1.146115,-0.799542,-9.188825
4.711391,0.298388,-4.068193,-10.117509
4.744878,0.155479,-1.969900,-7.894713
4.778240,1.029843,-2.233870,-8.868739
4.811467,5.144425,-8.289621,-8.271364
4.844772,0.588396,-7.123902,-8.521867
4.878100,-0.924344,-2.653918,-9.382463
4.911503,-1.875625,-6.068470,-11.202870
4.944262,-1.181431,-4.133138,-9.738015
4.978159,2.154709,-2.673671,-11.791565
5.010734,1.146115,-3.764867,-8.432380
5.044079,3.209841,-0.743426,-9.763005
5.078120,0.066441,-4.257940,-9.509660
5.111507,-2.124481,-5.498630,-7.678479
5.144110,1.311471,-6.316129,-9.025265
5.178126,0.616679,-1.276155,-9.961282
5.211500,-1.062166,-3.909272,-8.958076
5.244783,0.812262,-5.133801,-10.461987
5.278138,1.085360,-3.954764,-11.843042
5.311503,-0.877057,-4.096176,-8.261787
5.344221,-1.708922,-4.168454,-11.367028
5.378132,-1.188764,-0.988691,-11.522806
5.411451,0.357497,-2.047415,-9.244043
5.444344,-0.014665,-4.238038,-9.562484
5.478128,0.610094,-5.408994,-10.528878
5.511632,0.264120,-3.595770,-10.869315
5.544778,-0.636132,-2.809097,-12.868994
5.578128,-0.100261,-2.038137,-11.458609
5.611450,1.164970,-5.616998,-9.830344
5.644481,-0.667258,-4.824040,-9.643291
5.677325,-1.227671,-3.914659,-9.897983
5.711383,-1.176942,-3.992175,-10.678970
5.744738,-0.094125,-2.542134,-9.753877
5.778058,0.738638,-4.524305,-9.344454
5.811484,1.451986,-4.717943,-9.571462
5.844828,0.403587,-4.205865,-7.768115
5.878117,-0.047736,-4.131193,-9.190172
5.911453,0.888729,-5.155200,-9.906513
5.944723,2.566526,-2.242250,-11.342486
5.978206,1.061268,-4.508443,-8.273908
6.011388,0.029031,-1.283338,-11.067892
6.044189,-1.773269,-0.498311,-10.312494
6.078117,-2.706442,-5.621188,-8.839858
6.116986,0.269657,-1.364295,-8.635894
6.144096,-0.602463,-2.670229,-11.574732
6.178050,4.880754,-3.842981,-15.289469
6.211385,-0.131087,-2.394736,-10.185896
6.244871,-1.752169,0.117919,-6.823269
6.278023,1.242186,-2.491705,-7.879449
6.311448,1.487451,-7.340585,-8.544762
6.344272,-2.676364,-8.646818,-3.107485
6.378035,3.913013,-2.088118,-10.595918
6.411492,-1.030292,-1.537731,-9.119840
6.444729,0.149643,-3.050471,-6.434796
6.478117,0.903245,-4.071934,-8.310571
6.511434,0.866433,-2.268737,-9.656759
6.544211,0.521206,-7.268158,-4.565457
6.578022,1.311022,-5.555794,-5.971203
6.611366,-0.577023,-6.121444,-8.048995
6.644752,4.146307,-2.752383,-8.939221
6.678048,1.717003,-3.741972,-8.990548
6.711363,-0.699281,-2.965025,-9.564878
6.744780,1.448095,-3.977510,-13.376583
6.778061,-1.103168,-0.690901,-13.317474
6.811445,0.717837,-1.917974,-11.602716
6.844189,1.786288,-4.389925,-12.489949
6.878048,1.018769,-0.577921,-13.943281
6.911455,0.239279,-8.770723,-6.461283
6.944081,-0.578969,-4.961861,-7.495765
6.978050,-0.922698,-3.440291,-9.550213
7.011448,2.326499,1.773269,-10.158212
7.044077,2.602291,-5.881417,-8.367435
7.078051,0.709308,-6.088672,-10.120352
7.111461,-0.170294,-6.264802,-8.066503
7.144313,-0.575976,-8.211208,-9.435437
7.178018,1.625871,-5.808840,-9.334128
7.211383,0.107593,-6.255674,-9.088115
7.244105,-1.465304,-1.997883,-7.093225
7.278026,2.026764,-2.749839,-10.582899
7.311311,-2.771238,-2.900080,-6.356533
7.344736,0.360939,-2.754627,-9.053698
7.378167,0.314998,-1.142823,-9.489458
7.411108,1.686775,-0.093976,-11.758045
7.444722,-0.394908,-4.680532,-10.342872
7.478107,1.125614,-5.883811,-6.520093
7.511136,2.224742,-8.889839,-8.674951
7.544175,-0.380392,-9.114153,-10.457199
7.578048,-0.753153,-3.264012,-9.854736
7.611369,-0.954572,-6.471609,-9.784105
7.644119,1.246825,-1.491641,-10.480693
7.678114,-0.218179,-8.877568,-11.322883
7.710874,-0.994527,-3.238722,-10.250841
7.744719,1.293364,-4.340543,-12.039374
7.779513,-3.146393,-7.402687,-5.330282
7.811368,-0.334452,-3.504488,-7.192738
7.843734,2.925969,-7.528237,-6.564836
7.878171,-2.580593,-5.807643,-8.941765
7.910388,-2.103232,-1.355915,-8.329725
7.944716,-1.351276,-3.575718,-9.681450
7.977560,0.110287,-3.160609,-8.734659
8.011362,-2.220103,-5.296762,-10.192181
8.043754,-3.001838,-0.336397,-13.594164
8.077173,2.228932,-1.537581,-9.738613
8.111357,-3.189490,-5.756764,-8.308476
8.143743,-3.364722,0.324276,-9.365254
8.178117,3.038350,0.017658,-10.000488
8.210374,-0.834858,-2.694770,-9.717514
8.244825,-4.000255,-5.172857,-7.561009
8.277066,-1.758903,-6.141945,-10.299325
8.310405,4.858009,-1.613450,-12.252465
8.345078,1.844649,-4.901704,-7.966542
8.377077,2.768544,-4.342339,-7.925240
8.411451,1.988455,-3.758432,-8.525608
8.444197,-0.932126,-4.029286,-8.488496
8.478026,5.024112,-1.137586,-10.976759
8.510487,0.123904,-1.291718,-10.459443
8.544308,-1.424002,-6.255973,-8.016373
8.577161,3.049125,-7.780236,-6.757875
8.610503,-1.019368,-6.740218,-8.618686
8.644778,-2.337722,-3.924237,-7.138417
8.678050,0.832314,-1.779853,-9.632816
8.711369,-1.008893,1.002009,-9.496341
8.745621,-0.376651,-5.440718,-5.699301
8.777234,-2.261404,-4.351467,-8.810827
8.810631,0.367822,-7.317091,-9.873142
8.844780,0.514024,-7.209348,-7.228203
8.877920,-0.833960,-6.035699,-10.527082
8.911450,-0.226110,-3.864679,-8.151201
8.946729,-0.085446,-3.297382,-7.557268
8.977171,1.657894,-3.395249,-7.912820
9.010549,0.437556,-4.924600,-10.207445
9.044178,0.465689,-2.751485,-9.915641
9.078313,1.619586,-3.147889,-8.009938
9.110453,1.503912,-4.904847,-8.754861
9.144168,0.561909,-1.633802,-10.381779
9.178117,1.400957,-0.354354,-11.918312
9.210813,0.441297,-0.368571,-9.177153
9.243885,-1.000962,-4.344883,-9.868354
9.277470,1.124567,-0.791611,-9.696414
9.310982,0.203514,-6.555558,-7.491724
9.344740,1.026700,-3.704710,-9.344454
9.377456,0.824084,-4.843493,-7.990036
9.410559,-1.285732,-3.477403,-6.917096
9.443967,1.364295,-6.268393,-7.077812
9.478064,0.291804,1.556885,-11.483600
9.511522,0.428727,-4.870429,-9.279958
9.544157,-2.613664,-5.575846,-10.625697
9.578091,-0.236585,-3.902987,-5.871091
9.611461,1.417119,-3.883833,-8.048845
9.643942,0.884390,-1.341399,-10.567935
9.678049,1.145068,-3.030719,-9.220998
9.711536,0.795352,-2.047116,-8.092990
9.744074,-0.234191,-1.412180,-8.751419
9.777444,-0.391017,-4.837508,-7.780086
9.811688,1.453482,-1.923810,-11.013721
9.844384,0.146949,-4.069390,-9.248982
9.878101,0.310958,-6.607185,-8.517826
9.911498,-1.368335,-5.249774,-8.773416
9.944171,0.840245,-1.939073,-8.556883
9.977424,0.218628,-3.434605,-9.437681
10.010901,1.527854,-3.938303,-9.537643
10.044298,-0.019454,-6.221854,-8.956280
10.078064,0.087840,-2.686390,-9.953800
10.110647,-1.242036,-4.803838,-6.494654
10.144048,1.116935,-2.521633,-10.544740
10.178052,0.577023,-0.544251,-10.006474
10.211370,0.710954,-1.376865,-10.889966
10.244083,-1.315212,-0.771709,-8.936826
10.277540,-0.046689,-4.904398,-10.145792
